序号,名字,图标,封面,地址,描述,分类
1000115,卡片宴会,,https://wgame80.com/wp-content/uploads/2021/07/8卡片宴会.jpg,https://game.wgame80.com/web_game/roms/gba/卡片宴会.gba,卡片宴会,gba
1000116,究极截拳道-金太郎的复仇,,https://wgame80.com/wp-content/uploads/2021/07/111-89.jpeg,https://game.wgame80.com/web_game/roms/gba/究极截拳道-金太郎的复仇.gba,究极截拳道-金太郎的复仇,gba
1000117,节奏天国,,https://wgame80.com/wp-content/uploads/2021/07/064节奏天国.jpg,https://game.wgame80.com/web_game/roms/gba/节奏天国.gba,节奏天国,gba
1000118,激斗英雄奥特曼,,https://wgame80.com/wp-content/uploads/2021/07/111-88.jpeg,https://game.wgame80.com/web_game/roms/gba/激斗英雄奥特曼.gba,激斗英雄奥特曼,gba
1000119,机械化军队,,https://wgame80.com/wp-content/uploads/2021/07/111-87.jpeg,https://game.wgame80.com/web_game/roms/gba/机械化军队.gba,机械化军队,gba
1000120,火影忍者2最强忍者大集结,,https://wgame80.com/wp-content/uploads/2021/07/111-86.jpeg,https://game.wgame80.com/web_game/roms/gba/火影忍者2最强忍者大集结.gba,火影忍者2最强忍者大集结,gba
1000121,火影忍者1－最强忍者大集结,,https://wgame80.com/wp-content/uploads/2021/07/111-85.jpeg,https://game.wgame80.com/web_game/roms/gba/火影忍者1－最强忍者大集结.gba,火影忍者1－最强忍者大集结,gba
1000122,火影忍者-木叶战记,,https://wgame80.com/wp-content/uploads/2021/07/111-45.jpg,https://game.wgame80.com/web_game/roms/gba/火影忍者-木叶战记.gba,火影忍者-木叶战记,gba
1000123,火焰之纹章圣邪的意志,,https://wgame80.com/wp-content/uploads/2021/07/111-84.jpeg,https://game.wgame80.com/web_game/roms/gba/火焰之纹章圣邪的意志.gba,火焰之纹章圣邪的意志,gba
1000124,魂斗罗-执念,,https://wgame80.com/wp-content/uploads/2021/07/111-83.jpeg,https://game.wgame80.com/web_game/roms/gba/魂斗罗-执念.gba,魂斗罗-执念,gba
1000125,黄金太阳2,,https://wgame80.com/wp-content/uploads/2021/07/034《黄金太阳：失落的时代》.jpg,https://game.wgame80.com/web_game/roms/gba/黄金太阳2.gba,黄金太阳2,gba
1000126,黄金太阳,,https://wgame80.com/wp-content/uploads/2021/07/033《黄金太阳》.jpg,https://game.wgame80.com/web_game/roms/gba/黄金太阳.gba,黄金太阳,gba
1000127,皇家骑士团,,https://wgame80.com/wp-content/uploads/2021/07/065.皇家骑士团.jpg,https://game.wgame80.com/web_game/roms/gba/皇家骑士团.gba,皇家骑士团,gba
1000128,幻想传说FINAL,,https://wgame80.com/wp-content/uploads/2021/07/077幻想传说.jpg,https://game.wgame80.com/web_game/roms/gba/幻想传说FINAL.gba,幻想传说FINAL,gba
1000129,欢乐足球,,https://wgame80.com/wp-content/uploads/2021/07/101欢乐足球.jpg,https://game.wgame80.com/web_game/roms/gba/欢乐足球.gba,欢乐足球,gba
1000130,花火大会,,https://wgame80.com/wp-content/uploads/2021/07/花火大会.jpg,https://game.wgame80.com/web_game/roms/gba/花火大会.gba,花火大会,gba
